Retirement,Debut Age (yrs),Longest Gap b/w innings,Time of best moving avg,No of innings,Time of worst moving avg,time of better score than 20% best scores
35.28493151,25.98630137,931,0.898989899,99,0.404040404,0.878787879
34.27123288,20.56712329,587,0.666666667,186,0.059139785,0.978494624
27.56712329,20.95890411,749,0.468085106,47,0.212765957,0.957446809
33.7260274,26.66849315,1284,0.743589744,39,0.307692308,0.846153846
28.10958904,23.66027397,857,0.322580645,31,0.967741935,0.903225806
32.31506849,21.67945205,1447,0.631578947,38,0.342105263,0.973684211
28.83835616,19.35068493,719,0.52238806,67,0.149253731,0.970149254
34.36438356,23.03835616,379,0.727777778,180,0.494444444,0.683333333
37.23013699,22.05205479,348,0.368888889,225,0.128888889,0.955555556
34.99178082,18.64657534,571,0.693877551,147,0.068027211,0.952380952
30.3260274,22.90136986,1489,0.884615385,26,0.423076923,1
39.44383562,22.24383562,480,0.497652582,213,0.056338028,0.906103286
30.98356164,21.84383562,526,0.758064516,62,0.467741935,0.935483871
35.35616438,22.09315068,378,0.669291339,127,0.078740157,0.858267717
